root_length_cm;length_longest_leaf_cm;petiole_longest_leaf_cm;width_longest_leaf_cm;leaves_number;eaten_leaves;petiole-length-ratio;length-width-ratio;longitude_GMS;latitude_GMS;altitude
;0,58;0,193;0,354;7;n;0,33;1,64;7°43'21.880;"53;46;27.309";6,884
;0,376;0,135;0,234;6;n;0,36;1,61;7°43'21.889;"53;46;27.290";5,53
;1,086;0,597;0,353;5;n;0,55;3,08;7°43'21.380;"53;46;27.959";6,572
;1,137;0,377;0,508;8;n;0,33;2,24;7°43'21.790;"53;46;27.429";7,675
;0,825;0,293;0,452;10;n;0,36;1,83;7°43'21.490;"53;46;27.820";10,232
;0,804;0,348;0,365;7;n;0,43;2,2;7°43'21.349;"53;46;27.760";7,716
;0,921;0,431;0,426;10;y;0,47;2,16;7°43'21.290;"53;46;28.059";0,119
;0,705;0,241;0,389;8;n;0,34;1,81;7°43'21.740;"53;46;27.380";0,548
;0,69;0,162;0,337;11;y;0,23;2,05;7°43'30.790;"53;46;6.109";6,505
;0,806;0,346;0,37;9;n;0,43;2,18;7°43'21.900;"53;46;28.059";5,545
;0,814;0,383;0,376;11;n;0,47;2,16;7°43'21.540;"53;46;27.820";10,158
;0,87;0,303;0,478;5;n;0,35;1,82;7°43'21.580;"53;46;27.959";9,739
;1,158;0,404;0,556;12;y;0,35;2,08;7°43'30.759;"53;46;6.190";5,202
;0,908;0,318;0,403;9;n;0,35;2,25;7°43'22.029;"53;46;27.660";1,125
;0,721;0,313;0,389;12;n;0,43;1,85;7°43'2.20;"53;46;31.51";45,132
5,09;0,942;0,323;0,476;12;n;0,34;1,98;7°43'1.26;"53;46;31.71";41,648
;0,892;0,329;0,47;11;n;0,37;1,9;7°43'1.99;"53;46;31.59";47,998
5,85;0,636;0,203;0,395;11;n;0,32;1,61;7°43'1.17;"53;46;31.79";36,727
4,5;0,798;0,335;0,402;10;n;0,42;1,99;7°43'2.07;"53;46;31.29";67
;0,433;0,149;0,277;7;n;0,34;1,56;7°43'1.85;"53;46;31.62";52
2,86;0,785;0,341;0,403;11;n;0,43;1,95;7°42'18.29;"53;46;17.52";0
;0,601;0,224;0,356;10;n;0,37;1,69;7°43'1.99;"53;46;31.59";47,998
;0,546;0,151;0,361;10;n;0,28;1,51;7°43'2.20;"53;46;31.51";45,132
4,97;0,938;0,278;0,486;9;n;0,3;1,93;;;
4,13;0,61;0,278;0,294;11;n;0,46;2,07;7°43'1.24;"53;46;31.14";46
;0,346;0,101;0,246;8;n;0,29;1,41;7°43'1.57;"53;46;30.93";46
;0,456;0,159;0,28;9;n;0,35;1,63;7°43'0.60;"53;46;30.37";6
2,89;0,485;0,133;0,333;9;n;0,27;1,46;;;
4,95;0,765;0,306;0,253;7;n;0,4;3,02;;;
;0,958;0,369;0,5;13;n;0,39;1,92;7°43'1.94;"53;46;31.06";44
2,78;0,865;0,345;0,428;12;n;0,4;2,02;7°43'2.12;"53;46;31.20";46
;0,603;0,274;0,326;8;n;0,45;1,85;7°43'2.12;"53;46;31.20";46
;0,604;0,221;0,362;8;n;0,37;1,67;7°43'1.99;"53;46;31.59";47,998
;0,512;0,098;0,327;8;n;0,19;1,57;7°43'2.11;"53;46;30.39";4
;0,537;0,147;0,31;9;y;0,27;1,73;7°43'1.77;"53;46;31.59";53,596
2,71;0,388;0,13;0,232;9;n;0,34;1,67;7°43'1.24;"53;46;31.14";46
8,09;0,702;0,281;0,415;11;n;0,4;1,69;7°43'1.67;"53;46;31.19";57,386
;0,688;0,235;0,383;9;n;0,34;1,8;7°43'2.12;"53;46;31.20";46
;0,739;0,215;0,459;9;n;0,29;1,61;7°43'2.12;"53;46;31.20";46
;0,621;0,275;0,328;10;n;0,44;1,89;7°43'1.57;"53;46;30.93";46
3,1;0,553;0,178;0,329;10;n;0,32;1,68;7°43'1.97;"53;46;31.35";16,548
;0,579;0,192;0,345;10;n;0,33;1,68;7°43'1.85;"53;46;31.62";52
;0,47;0,12;0,315;7;n;0,26;1,49;7°43'1.85;"53;46;31.62";52
6,65;0,724;0,209;0,359;10;n;0,29;2,02;;;
;0,609;0,209;0,377;12;y;0,34;1,62;7°43'1.57;"53;46;30.93";46
;0,433;0,141;0,262;8;n;0,33;1,65;;;
;0,42;0,134;0,281;8;n;0,32;1,49;7°43'2.07;"53;46;31.25";44
;0,412;0,132;0,258;7;n;0,32;1,6;7°43'1.57;"53;46;30.93";46
;0,597;0,194;0,37;9;n;0,32;1,61;7°43'1.80;"53;46;31.23";49,562
;0,411;0,156;0,26;7;n;0,38;1,58;7°43'2.20;"53;46;31.51";45,132
5,1;0,344;0,09;0,288;7;n;0,26;1,19;7°43'2.23;"53;46;31.17";37,819
;0,388;0,118;0,273;7;n;0,3;1,42;7°43'2.20;"53;46;31.51";45,132
;0,624;0,217;0,411;8;n;0,35;1,52;7°43'2.12;"53;46;31.20";46
;0,636;0,182;0,323;10;n;0,29;1,97;7°43'1.77;"53;46;31.59";53,596
;0,554;0,221;0,258;9;n;0,4;2,15;7°43'26.13;"53;46;26.13";44,994
;0,686;0,29;0,333;9;n;0,42;2,06;7°43'22.03;"53;46;24.63";50
;0,533;0,282;0,278;9;n;0,53;1,92;7°43'26.13;"53;46;26.13";44,994
;0,333;0,102;0,193;7;n;0,31;1,73;7°43'21.90;"53;46;24.65";34,252
;0,91;0,336;0,506;9;n;0,37;1,8;7°43'21.90;"53;46;24.65";39,464
;0,655;0,188;0,359;10;n;0,29;1,82;7°43'21.87;"53;46;24.80";50
;0,748;0,345;0,36;9;n;0,46;2,08;7°43'23.01;"53;46;25.46";14,547
;0,847;0,265;0,374;12;y;0,31;2,26;7°43'21.78;"53;46;24.62";33,941
;0,691;0,219;0,372;5;n;0,32;1,86;7°43'21.71;"53;46;24.74";45,26
;0,682;0,293;0,289;8;n;0,43;2,36;7°43'22.00;"53;46;24.88";34,252
;0,371;0,132;0,207;9;n;0,36;1,79;7°43'21.94;"53;46;24.30";38,329
;0,849;0,327;0,385;11;n;0,39;2,21;7°43'21.62;"53;46;26.51";53,697
;0,642;0,208;0,363;11;n;0,32;1,77;7°43'21.55;"53;46;26.15";42,238
;0,517;0,199;0,262;9;n;0,38;1,97;7°43'21.92;"53;46;24.41";44,135
;1,004;0,32;0,45;10;n;0,32;2,23;7°43'21.36;"53;46;26.31";45
;0,429;0,11;0,315;10;n;0,26;1,36;7°43'21.74;"53;46;26.29";30,246
;0,446;0,142;0,274;9;n;0,32;1,63;7°43'21.94;"53;46;24.30";38,329
;0,908;0,43;0,375;8;n;0,47;2,42;7°43'21.71;"53;46;24.74";45,26
;1,028;0,248;0,562;12;y;0,24;1,83;7°43'31.30;"53;46;6.04";42
;0,919;0,269;0,488;11;n;0,29;1,88;7°42'46.93;"53;46;17.00";0
;1,118;0,318;0,458;13;n;0,28;2,44;7°43'22.16;"53;46;26.62";31,589
;1,153;0,514;0,392;13;n;0,45;2,94;7°43'31.73;"53;46;6.27";47,802
;0,523;0,174;0,343;11;n;0,33;1,52;7°43'21.80;"53;46;26.55";43,871
;1,38;0,538;0,438;12;n;0,39;3,15;7°43'31.37;"53;46;6.08";41
;1,172;0,478;0,5;13;n;0,41;2,34;7°43'31.42;"53;46;5.95";46
;0,963;0,371;0,342;11;n;0,39;2,82;7°43'21.43;"53;46;25.58";33,365
;1,077;0,455;0,487;12;n;0,42;2,21;7°43'21.53;"53;46;25.66";40,479
;0,763;0,356;0,376;9;y;0,47;2,03;7°43'22.18;"53;46;24.74";39
;0,738;0,277;0,411;10;n;0,38;1,8;7°43'21.87;"53;46;24.80";50
;0,962;0,34;0,467;13;n;0,35;2,06;7°43'21.36;"53;46;26.31";45
;0,939;0,417;0,381;7;n;0,44;2,46;7°43'20.39;"53;46;26.84";44
;0,913;0,321;0,499;10;y;0,35;1,83;7°43'21.29;"53;46;27.14";27
;0,716;0,257;0,384;14;n;0,36;1,86;;;
;1,099;0,412;0,44;15;n;0,37;2,5;7°43'30.83;"53;46;6.04";40,141
;0,713;0,236;0,303;10;y;0,33;2,35;7°43'23.01;"53;46;25.46";14,547
;0,607;0,165;0,302;11;n;0,27;2,01;;;
;0,671;0,252;0,24;9;y;0,38;2,8;7°43'22.00;"53;46;24.88";34,252
;0,953;0,347;0,42;13;n;0,36;2,27;;;
;0,669;0,236;0,357;11;n;0,35;1,87;7°43'21.82;"53;46;25.43";40,976
;1,278;0,55;0,41;17;y;0,43;3,12;;;
;0,449;0,191;0,204;8;y;0,43;2,2;7°43'21.64;"53;46;24.93";43
;0,568;0,216;0,345;10;n;0,38;1,65;7°43'21.82;"53;46;25.42";36,999
;1,214;0,493;0,553;12;n;0,41;2,2;;;
;0,947;0,388;0,454;11;n;0,41;2,09;7°43'21.69;"53;46;24.67";30
;0,458;0,208;0,269;9;n;0,45;1,7;7°43'21.78;"53;46;24.62";33,941
;1,154;0,429;0,469;13;n;0,37;2,46;7°43'22.16;"53;46;26.62";31,589
;1,034;0,437;0,465;11;y;0,42;2,22;7°43'31.30;"53;46;6.04";42
;1,19;0,484;0,442;13;n;0,41;2,69;7°43'31.24;"53;46;6.10";44,762
;1,041;0,424;0,527;9;n;0,41;1,98;7°43'22.18;"53;46;24.75";45
;1,325;0,533;0,446;15;n;0,4;2,97;7°43'31.23;"53;46;6.01";47
;0,493;0,159;0,301;6;n;0,32;1,64;;;
;0,535;0,27;0,295;8;n;0,5;1,81;7°43'21.65;"53;46;26.33";35,047
;0,797;0,19;0,442;8;n;0,24;1,8;7°43'21.23;"53;46;26.29";41
;0,895;0,368;0,501;11;n;0,41;1,79;7°43'21.51;"53;46;25.65";36,099
;0,281;0,045;0,258;5;n;0,16;1,09;;;
;0,926;0,304;0,419;12;n;0,33;2,21;7°43'21.83;"53;46;25.25";47,845
;0,657;0,191;0,433;9;n;0,29;1,52;;;
;0,568;0,276;0,209;6;y;0,49;2,72;7°43'26.33;"53;46;26.33";50,19
;0,391;0,138;0,233;8;n;0,35;1,68;7°43'21.94;"53;46;24.30";38,329
;0,996;0,403;0,483;9;n;0,4;2,06;7°43'22.05;"53;46;24.77";39
;0,945;0,391;0,456;12;n;0,41;2,07;7°43'21.64;"53;46;25.49";44,386
;1,119;0,517;0,409;8;n;0,46;2,74;7°43'22.05;"53;46;24.77";39
;1,153;0,365;0,598;12;n;0,32;1,93;7°43'21.58;"53;46;24.51";43
;0,417;0,133;0,256;9;n;0,32;1,63;;;
;0,892;0,397;0,454;10;n;0,45;1,96;7°43'21.63;"53;46;26.24";42,785
;0,626;0,158;0,429;10;n;0,25;1,46;;;
;1,065;0,405;0,476;9;n;0,38;2,24;7°43'21.58;"53;46;24.51";43
;0,868;0,315;0,461;12;n;0,36;1,88;7°43'21.76;"53;46;26.62";42
;0,812;0,314;0,447;12;n;0,39;1,82;7°43'22.03;"53;46;24.63";50
;0,714;0,269;0,354;11;n;0,38;2,02;7°43'23.01;"53;46;25.46";14,547
;0,663;0,17;0,372;9;n;0,26;1,78;;;
;0,816;0,333;0,292;8;n;0,41;2,79;;;
;0,925;0,311;0,544;10;n;0,34;1,7;7°43'21.58;"53;46;24.51";43
;0,654;0,222;0,407;10;n;0,34;1,61;;;
;0,517;0,225;0,211;8;y;0,44;2,45;7°43'22.00;"53;46;24.88";34,252
;0,612;0,174;0,374;11;n;0,28;1,64;;;
;0,641;0,356;0,206;10;n;0,56;3,11;7°43'26.13;"53;46;26.13";44,994
;0,436;0,133;0,282;7;n;0,31;1,55;;;
;0,931;0,359;0,435;9;n;0,39;2,14;7°43'20.39;"53;46;26.84";44
;0,462;0,142;0,278;8;n;0,31;1,66;;;
;0,915;0,316;0,454;7;n;0,35;2,02;;;
;0,727;0,174;0,347;13;n;0,24;2,1;;;
;0,876;0,342;0,395;14;y;0,39;2,22;7°43'31.73;"53;46;6.27";47,802
;0,804;0,267;0,326;14;n;0,33;2,47;7°43'31.73;"53;46;6.27";47,802
;0,635;0,096;0,386;9;n;0,15;1,65;7°43'21.75;"53;46;25.61";39,698
;0,562;0,19;0,301;8;n;0,34;1,87;;;
;0,608;0,309;0,184;11;y;0,51;3,3;7°43'23.01;"53;46;25.46";14,547
;0,795;0,239;0,426;11;n;0,3;1,87;;;
;0,659;0,207;0,321;7;n;0,31;2,05;7°43'21.79;"53;46;27.17";42
;0,394;0,107;0,202;10;n;0,27;1,95;7°43'21.64;"53;46;24.93";43
;0,495;0,151;0,264;8;n;0,31;1,88;7°43'23.01;"53;46;25.46";14,547
;0,501;0,097;0,304;8;n;0,19;1,65;7°43'21.75;"53;46;25.61";39,698
;1,093;0,321;0,567;7;n;0,29;1,93;;;
;0,546;0,198;0,341;9;n;0,36;1,6;;;
;1,283;0,651;0,353;9;y;0,51;3,63;7°43'31.37;"53;46;6.08";41
;0,525;0,176;0,256;8;n;0,34;2,05;;;
;0,672;0,244;0,36;9;y;0,36;1,87;7°43'21.57;"53;46;24.79";53,797
;0,591;0,203;0,364;11;n;0,34;1,62;;;
;0,856;0,231;0,547;6;n;0,27;1,56;7°43'21.52;"53;46;25.37";41,067
;0,691;0,27;0,363;8;n;0,39;1,9;;;
;1,364;0,506;0,474;11;n;0,37;2,88;7°43'21.45;"53;46;25.475";39,708
;0,884;0,218;0,509;5;n;0,25;1,74;;;
;0,883;0,443;0,349;10;n;0,5;2,53;7°43'22.05;"53;46;24.77";39
;0,958;0,362;0,563;11;y;0,38;1,7;7°43'26.33;"53;46;26.33";50,19
;0,463;0,207;0,198;8;y;0,45;2,34;;;
;0,423;0,141;0,227;6;n;0,33;1,86;7°43'21.65;"53;46;26.33";35,047
;0,487;0,147;0,291;7;n;0,3;1,67;;;
;0,704;0,382;0,219;8;y;0,54;3,21;7°43'26.33;"53;46;26.33";50,19
;0,895;0,341;0,45;8;n;0,38;1,99;;;
;1,3;0,758;0,32;9;n;0,58;4,06;;;
;0,362;0,115;0,177;7;n;0,32;2,05;;;
;0,562;0,337;0,255;6;n;0,6;2,2;7°43'26.33;"53;46;26.33";50,19
;1,157;0,385;0,56;12;n;0,33;2,07;;;
;0,849;0,24;0,475;9;n;0,28;1,79;;;
;0,904;0,362;0,499;13;n;0,4;1,81;;;
;0,497;0,153;0,315;8;n;0,31;1,58;7°43'21.74;"53;46;26.29";30,246
;1,27;0,526;0,458;12;n;0,41;2,77;7°43'21.39;"53;46;25.40";36,282
;0,922;0,38;0,47;10;n;0,41;1,96;;;
;0,88;0,257;0,448;11;n;0,29;1,96;;;
;0,661;0,18;0,399;9;n;0,27;1,66;;;
;0,548;0,258;0,245;7;n;0,47;2,24;7°43'21.62;"53;46;25.67";48,243
;1,132;0,458;0,503;11;n;0,4;2,25;;;
;0,659;0,197;0,394;8;n;0,3;1,67;7°43'22.08;"53;46;25.61";41,394
;0,61;0,307;0,273;8;n;0,5;2,23;7°43'21.63;"53;46;26.24";42,785
;1,213;0,414;0,654;14;n;0,34;1,85;7°43'22.18;"53;46;24.75";45
;0,889;0,354;0,361;14;n;0,4;2,46;7°43'31.11;"53;46;6.06";47,022
;1,522;0,578;0,582;18;n;0,38;2,62;;;
;0,588;0,287;0,286;7;n;0,49;2,06;7°43'26.13;"53;46;26.13";44,994
;1,04;0,384;0,464;11;n;0,37;2,24;;;
;0,97;0,468;0,471;5;n;0,48;2,06;;;
;0,768;0,25;0,377;9;n;0,33;2,04;7°43'21.76;"53;46;26.62";42
;0,968;0,385;0,514;10;n;0,4;1,88;;;
;0,632;0,205;0,292;8;n;0,32;2,16;;;
;0,822;0,305;0,42;10;y;0,37;1,96;7°43'21.29;"53;46;27.14";27
;0,971;0,305;0,485;8;n;0,31;2;;;
;1,15;0,524;0,47;7;n;0,46;2,45;;;
;0,865;0,327;0,568;10;n;0,38;1,52;;;
;0,947;0,311;0,49;8;n;0,33;1,93;;;
;0,798;0,273;0,437;9;n;0,34;1,83;7°43'21.26;"53;46;25.76";22,461
;0,714;0,254;0,395;9;n;0,36;1,81;;;
;1,027;0,456;0,427;9;n;0,44;2,41;7°43'21.78;"53;46;24.62";33,941
;0,959;0,418;0,312;12;n;0,44;3,07;7°43'30.63;"53;46;6.16";51,188
;0,905;0,375;0,431;10;n;0,41;2,1;7°43'21.71;"53;46;24.74";45,26
;1,308;0,561;0,466;11;n;0,43;2,81;;;
;0,536;0,188;0,302;8;n;0,35;1,77;;;
;0,492;0,166;0,296;7;n;0,34;1,66;;;
;1,109;0,453;0,437;12;n;0,41;2,54;;;
;0,864;0,317;0,411;10;n;0,37;2,1;7°43'21.23;"53;46;26.29";41
;0,5;0,128;0,407;8;n;0,26;1,23;;;
;0,776;0,296;0,282;7;n;0,38;2,75;;;
;0,514;0,151;0,353;11;n;0,29;1,46;7°43'21.60;"53;46;25.39";53,46
;1;0,264;0,47;6;n;0,26;2,13;;;
;0,648;0,231;0,368;8;n;0,36;1,76;;;
;0,561;0,236;0,313;8;n;0,42;1,79;;;
;0,594;0,253;0,314;10;y;0,43;1,89;;;
;1,268;0,601;0,489;19;n;0,47;2,59;;;
;0,455;0,165;0,254;7;n;0,36;1,79;;;
;0,925;0,327;0,567;8;n;0,35;1,63;;;
;0,643;0,203;0,336;8;n;0,32;1,91;;;
;1,141;0,461;0,498;10;n;0,4;2,29;;;
;0,578;0,239;0,249;7;n;0,41;2,32;;;
;1,245;0,585;0,681;10;n;0,47;1,83;;;
;0,521;0,125;0,324;9;n;0,24;1,61;;;
;0,51;0,219;0,261;8;n;0,43;1,95;;;
;0,878;0,333;0,371;6;n;0,38;2,37;;;
;0,915;0,366;0,431;12;n;0,4;2,12;;;
;1,14;0,61;0,438;12;n;0,54;2,6;;;
;0,87;0,421;0,312;7;y;0,48;2,79;;;
;0,887;0,36;0,452;10;n;0,41;1,96;;;
;1,055;0,296;0,556;12;n;0,28;1,9;;;
;0,893;0,396;0,299;13;n;0,44;2,99;;;
;1,176;0,362;0,591;12;n;0,31;1,99;;;
;1,182;0,663;0,601;10;n;0,56;1,97;"7;43;22.18";"53;46;24.74";39
;0,377;0,16;0,189;8;n;0,42;1,99;;;
;0,565;0,199;0,279;7;n;0,35;2,03;;;
;0,648;0,222;0,384;9;n;0,34;1,69;;;
;1,268;0,446;0,7;13;y;0,35;1,81;7°43'21.92;"53;46;25.29";45,592
;1,44;0,725;0,465;9;n;0,5;3,1;;;
;0,566;0,202;0,339;9;n;0,36;1,67;;;
;1,082;0,306;0,547;11;n;0,28;1,98;7°43'21.71;"53;46;25.25";51,864
;0,653;0,177;0,448;9;n;0,27;1,46;;;
;0,878;0,315;0,477;9;n;0,36;1,84;;;
;0,716;0,234;0,405;9;y;0,33;1,77;;;
;1,224;0,635;0,423;13;n;0,52;2,89;;;
;0,647;0,257;0,246;7;n;0,4;2,63;;;
;0,791;0,217;0,542;9;n;0,27;1,46;7°42'46.93;"53;46;17.00";0
;0,93;0,355;0,383;7;n;0,38;2,43;7°43'31.42;"53;46;5.95";46
;0,642;0,227;0,352;11;n;0,35;1,82;;;
;0,984;0,226;0,499;12;y;0,23;1,97;;;
;0,523;0,184;0,304;9;n;0,35;1,72;;;
;0,805;0,285;0,431;11;n;0,35;1,87;;;
;0,63;0,192;0,349;10;n;0,3;1,81;;;
;0,922;0,369;0,487;8;n;0,4;1,89;;;
;0,712;0,161;0,422;8;n;0,23;1,69;7°43'21.36;"53;46;25.45";36,636
;1,821;0,552;0,822;16;n;0,3;2,22;7°43'21.58;"53;46;25.40";39,359
;0,736;0,203;0,359;7;n;0,28;2,05;;;
;0,591;0,26;0,312;7;n;0,44;1,89;;;
;NA;NA;NA;NA;NA;;;;;
;1,053;0,637;0,287;10;n;0,6;3,67;;;
;0,522;0,16;0,361;10;n;0,31;1,45;7°43'2.27;"53;46;31.46";50,216
;0,531;0,199;0,323;8;n;0,37;1,64;;;
;0,672;0,262;0,365;11;n;0,39;1,84;;;
;0,577;0,191;0,362;7;n;0,33;1,59;;;
;1,083;0,34;0,434;10;n;0,31;2,5;;;
;1,311;0,532;0,572;11;y;0,41;2,29;;;
;1,265;0,395;0,6;17;n;0,31;2,11;;;
;NA;NA;NA;NA;NA;;;;;
;0,537;0,234;0,246;10;n;0,44;2,18;;;
;1,048;0,4;0,466;11;y;0,38;2,25;;;
;0,675;0,299;0,281;8;n;0,44;2,4;;;
;0,679;0,217;0,455;9;n;0,32;1,49;;;
;0,741;0,231;0,425;11;n;0,31;1,74;;;
;NA;NA;NA;NA;NA;;;;;
;0,612;0,203;0,312;6;n;0,33;1,96;;;
;0,676;0,229;0,409;9;n;0,34;1,65;7°43'1.94;"53;46;31.51";67,896
;0,553;0,185;0,237;9;n;0,33;2,33;;;
;0,852;0,337;0,506;10;n;0,4;1,68;;;
;0,713;0,265;0,389;10;n;0,37;1,83;7°43'1.99;"53;46;31.60";54,618
;0,602;0,241;0,287;7;n;0,4;2,1;;;
;0,629;0,3;0,309;9;n;0,48;2,04;7°43'1.99;"53;46;31.60";54,618
;0,788;0,316;0,369;13;n;0,4;2,14;;;
;0,433;0,108;0,312;6;n;0,25;1,39;;;
;0,535;0,187;0,299;9;n;0,35;1,79;7°43'2.06;"53;46;31.51";47
;1,288;0,529;0,561;13;n;0,41;2,3;;;
;1,007;0,337;0,478;13;n;0,33;2,11;;;
;1,053;0,387;0,391;10;y;0,37;2,69;;;
;0,772;0,221;0,439;10;n;0,29;1,76;7°43'2.06;"53;46;31.51";47
;1,072;0,454;0,519;10;y;0,42;2,07;;;
;0,813;0,295;0,429;10;y;0,36;1,9;;;
;0,649;0,241;0,353;10;n;0,37;1,84;7°43'2.17;"53;46;31.71";15,599
;0,84;0,292;0,525;11;n;0,35;1,6;;;
;0,44;0,204;0,196;6;n;0,46;2,24;;;
;0,933;0,342;0,429;12;n;0,37;2,17;;;
;0,909;0,393;0,409;12;n;0,43;2,22;;;
;0,693;0,223;0,324;11;n;0,32;2,14;7°43'2.48;"53;46;31.80";46
;NA;NA;NA;NA;NA;;;;;
;0,729;0,407;0,306;7;n;0,56;2,38;;;
;0,453;0,189;0,252;8;n;0,42;1,8;7°43'2.06;"53;46;31.51";47
;0,501;0,197;0,317;8;n;0,39;1,58;7°43'2.27;"53;46;31.46";50,216
;0,366;0,14;0,225;8;n;0,38;1,63;;;
;1,052;0,57;0,269;6;n;0,54;3,91;7°43'1.99;"53;46;31.60";54,618
;0,423;0,145;0,248;6;n;0,34;1,71;;;
;0,497;0,155;0,296;9;n;0,31;1,68;;;
;0,692;0,355;0,359;8;n;0,51;1,93;;;
;0,305;0,105;0,213;7;n;0,34;1,43;;;
;0,498;0,186;0,274;8;n;0,37;1,82;;;
;0,624;0,225;0,354;10;n;0,36;1,76;;;
;1,254;0,509;0,529;14;n;0,41;2,37;;;
;0,605;0,232;0,31;13;n;0,38;1,95;;;
;0,695;0,286;0,309;11;n;0,41;2,25;;;
;0,734;0,327;0,35;10;n;0,45;2,1;;;
;0,725;0,246;0,418;13;n;0,34;1,73;;;
;0,617;0,204;0,331;10;n;0,33;1,86;;;
;0,443;0,173;0,26;6;n;0,39;1,7;;;
;0,535;0,246;0,289;10;n;0,46;1,85;;;
;0,88;0,39;0,459;10;n;0,44;1,92;;;
;0,619;0,24;0,355;9;n;0,39;1,74;7°43'1.99;"53;46;31.60";54,618
;0,424;0,138;0,252;6;n;0,33;1,68;;;
;0,707;0,272;0,348;11;n;0,38;2,03;;;
;0,697;0,151;0,399;9;n;0,22;1,75;;;
;0,607;0,161;0,38;8;y;0,27;1,6;;;
;NA;NA;NA;NA;NA;;;;;
;0,607;0,13;0,349;10;n;0,21;1,74;7°43'2.07;"53;46;31.58";50
;0,576;0,207;0,327;12;n;0,36;1,76;;;
;0,589;0,208;0,323;7;n;0,35;1,82;;;
;1,031;0,432;0,471;12;n;0,42;2,19;;;
;0,672;0,27;0,325;10;n;0,4;2,07;;;
;0,603;0,24;0,301;10;n;0,4;2;;;
;0,785;0,34;0,328;10;n;0,43;2,39;;;
;0,874;0,426;0,355;5;n;0,49;2,46;7°43'1.99;"53;46;31.60";54,618
;0,802;0,285;0,354;11;n;0,36;2,27;;;
;0,443;0,147;0,266;10;n;0,33;1,67;;;
;0,396;0,132;0,207;8;n;0,33;1,91;;;
;NA;NA;NA;NA;NA;;;;;
;0,846;0,278;0,474;10;n;0,33;1,78;;;
;0,682;0,189;0,399;7;n;0,28;1,71;;;
;0,76;0,262;0,43;10;n;0,34;1,77;;;
;0,727;0,308;0,344;12;n;0,42;2,11;;;
;0,405;0,148;0,225;6;n;0,37;1,8;;;
;NA;NA;NA;NA;NA;;;;;
;0,527;0,199;0,289;10;n;0,38;1,82;;;
;0,92;0,383;0,387;11;n;0,42;2,38;;;
;0,777;0,363;0,305;10;n;0,47;2,55;7°43'1.87;"53;46;32.60";59,371
;0,599;0,326;0,276;7;n;0,54;2,17;7°43'2.57;"53;46;32.19";58,768
;1,168;0,595;0,456;12;n;0,51;2,56;7°43'2.34;"53;46;2.34";57,464
;0,848;0,299;0,476;11;n;0,35;1,78;7°43'2.74;"53;46;31.29";50
;0,388;0,113;0,269;6;n;0,29;1,44;7°43'1.87;"53;46;32.60";59,371
;0,716;0,259;0,369;9;n;0,36;1,94;7°43'2.23;"53;46;32.27";50
;0,843;0,302;0,51;10;n;0,36;1,65;7°43'2.20;"53;46;32.32";43
;0,554;0,225;0,308;8;n;0,41;1,8;7°43'1.58;"53;46;31.09";43
;0,629;0,238;0,324;9;n;0,38;1,94;;;
;0,515;0,188;0,28;7;n;0,37;1,84;7°43'1.96;"53;46;31.75";45,069
;0,707;0,237;0,433;8;n;0,34;1,63;7°43'1.44;"53;46;32.31";52
;0,769;0,284;0,491;10;n;0,37;1,57;7°43'1.65;"53;46;31.51";50,372
;0,95;0,364;0,456;10;n;0,38;2,08;7°43'1.58;"53;46;31.09";43
;0,552;0,288;0,269;10;n;0,52;2,05;7°43'2.56;"53;46;32.28";57,94
;0,416;0,187;0,229;8;y;0,45;1,82;7°43'2.77;"53;46;32.22";58,352
;0,839;0,345;0,424;10;n;0,41;1,98;7°43'1.65;"53;46;31.31";50,372
;1,074;0,535;0,399;12;n;0,5;2,69;7°43'1.93;"53;46;30.87";45,088
;0,434;0,407;0,46;8;n;0,94;0,94;7°43'1.79;"53;46;30.87";46,097
;0,782;0,344;0,348;11;n;0,44;2,25;7°43'1.97;"53;46;31.33";50,764
;0,616;0,165;0,332;10;n;0,27;1,86;7°43'2.23;"53;46;32.27";50
;0,51;0,166;0,278;11;n;0,33;1,83;7°43'2.34;"53;46;2.34";57,464
;0,455;0,183;0,263;8;n;0,4;1,73;7°43'2.77;"53;46;32.22";58,352
;0,89;0,539;0,4;9;n;0,61;2,23;7°43'3.27;"53;46;32.33";161
;0,447;0,212;0,214;8;n;0,47;2,09;7°43'1.58;"53;46;31.02";61
;0,596;0,166;0,313;9;n;0,28;1,9;7°43'1.79;"53;46;30.87";46,097
;0,521;0,222;0,257;10;n;0,43;2,03;7°43'2.56;"53;46;32.28";57,94
;0,718;0,299;0,45;10;n;0,42;1,6;7°43'2.29;"53;46;31.36";31
;0,842;0,273;0,466;10;n;0,32;1,81;7°43'2.29;"53;46;31.36";31
;0,677;0,25;0,357;8;n;0,37;1,9;7°43'2.34;"53;46;31.65";55,056
;0,782;0,329;0,403;10;y;0,42;1,94;7°43'2.28;"53;46;31.63";50
