root_length_cm;length_longest_leaf_cm;petiole_longest_leaf_cm;width_longest_leaf_cm;leaves_number;eaten_leaves;petiole-length-ratio;length-width-ratio;longitude_GMS;latitude_GMS;altitude
;0,636;0,256;0,318;12;n;0,4;2;7°43'2.459;"53;46;32.149";11,009
;0,657;0,292;0,303;10;n;0,44;2,17;7°43'2.200;"53;46;32.089";11,888
;0,574;0,195;0,317;10;n;0,34;1,81;7°43'21.729;"53;46;27.380";9,293
;0,555;0,215;0,329;9;n;0,39;1,69;7°43'1.979;"53;46;31.809";9,159
;0,572;0,189;0,378;10;n;0,33;1,51;7°43'2.319;"53;46;31.999";11,239
;0,775;0,224;0,446;9;n;0,29;1,74;7°43'21.830;"53;46;27.309";9,259
;0,862;0,258;0,451;11;y;0,3;1,91;7°43'2.350;"53;46;32.079";9,072
;0,575;0,186;0,335;10;n;0,32;1,72;7°43'32.089;"53;46;32.089";9,471
;0,554;0,205;0,229;10;n;0,37;2,42;7°43'2.169;"53;46;32.200";10,594
;0,648;0,225;0,337;8;n;0,35;1,92;7°43'2.189;"53;46;32.049";11,006
;0,666;0,262;0,322;9;n;0,39;2,07;7°43'2.020;"53;46;31.720";6,503
;0,674;0,26;0,355;7;n;0,39;1,9;7°43'2.270;"53;46;31.899";11,284
;0,523;0,175;0,27;8;n;0,33;1,94;7°43'2.099;"53;46;31.850";5,599
;0,684;0,262;0,35;12;n;0,38;1,95;7°43'1.979;"53;46;31.809";9,243
;0,844;0,279;0,474;9;n;0,33;1,78;7°43'21.650;"53;46;27.140";
;0,59;0,252;0,284;7;y;0,43;2,08;7°43'2.029;"53;46;31.910";
;0,723;0,205;0,432;10;n;0,28;1,67;7°43'2.189;"53;46;31.869";8,608
;1,096;0,494;0,479;11;n;0,45;2,29;7°43'1.939;"53;46;8.69";8,753
;0,451;0,175;0,283;10;n;0,39;1,59;7°43'2.200;"53;46;32.140";12,239
;0,807;0,316;0,374;7;n;0,39;2,16;7°43'2.049;"53;46;31.779";5,84
;0,575;0,253;0,315;9;n;0,44;1,83;7°43'2.200;"53;46;32.149";12,334
;0,542;0,221;0,31;8;n;0,41;1,75;7°43'2.119;"53;46;31.940";10,144
;0,847;0,287;0,383;10;n;0,34;2,21;7°43'1.950;"53;46;31.730";7,781
;0,677;0,247;0,437;9;n;0,36;1,55;7°43'2.209;"53;46;32.049";10,721
;0,537;0,202;0,332;11;n;0,38;1,62;7°43'2.259;"53;46;32.260";10,727
;0,48;0,203;0,275;7;n;0,42;1,75;7°43'2.170;"53;46;32.230";20,56
;0,639;0,229;0,314;8;n;0,36;2,04;7°43'21.590;"53;46;27.160";7,898
;0,556;0,211;0,288;10;n;0,38;1,93;7°43'2.380;"53;46;32.299";10,219
;0,662;0,339;0,285;6;y;0,51;2,32;7°43'2.080;"53;46;32.059";11,117
;0,892;0,337;0,417;12;n;0,38;2,14;7°43'2.119;"53;46;32.089";11,339
;0,685;0,294;0,322;12;n;0,43;2,13;7°43'1.990;"53;46;31.750";7,911
;0,667;0,269;0,295;10;n;0,4;2,26;7°43'2.110;"53;46;31.959";20,677
;0,51;0,184;0,285;9;n;0,36;1,79;7°43'2.380;"53;46;32.059";15,816
;0,804;0,364;0,394;12;n;0,45;2,04;7°43'21.569;"53;46;27.160";9,461
;0,608;0,229;0,279;8;n;0,38;2,18;7°43'2.209;"53;46;31.790";6,514
;1,225;0,453;0,548;10;n;0,37;2,24;7°43'2.209;"53;46;31.760";14,049
;0,466;0,206;0,192;6;n;0,44;2,43;7°43'2.319;"53;46;32.109";14,047
8,29;0,805;0,335;0,33;7;n;0,42;2,44;7°43'1.959;"53;46;31.790";
;0,554;0,217;0,268;10;n;0,39;2,07;7°43'2.209;"53;46;32.010";10,955
;0,526;0,223;0,228;7;n;0,42;2,31;7°43'2.209;"53;46;32.119";11,002
;0,972;0,307;0,482;13;n;0,32;2,02;7°43'1.970;"53;46;31.809";10,143
;0,791;0,305;0,371;6;n;0,39;2,13;7°43'1.860;"53;46;32.160";10,595
;0,657;0,196;0,343;10;y;0,3;1,92;7°43'2.229;"53;46;32.160";11,079
;0,657;0,257;0,351;8;n;0,39;1,87;7°43'21.671;"53;46;27.160";8,756
;0,533;0,21;0,323;9;n;0,39;1,65;7°43'2.200;"53;46;32.149";11,926
;0,59;0,201;0,328;9;n;0,34;1,8;7°43'21.590;"53;46;27.200";8,427
