location;loc_coordinates;root_cm;leaf_number;petiole_cm;leaf_length_cm;leaf_width_cm;petiole-total_length-ratio;length-width-ratio;internodium_cm;stem_mm;cauline_leaves;flowers;siliques_number;reproductive_units;plant_length_cm;plant_length-root_length-ratio;mainshoot;sideshoots ;sidebranches;location_comp;longitude_decimal;latitude_decimal;altitude_m
Spiekeroog_2;53°46'31,516, 7°43'1,936;10,1;4;1,2;2,6;0,2;0,5;13;3,2;0,8;3;3;6;9;10,2;1;y;0;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;1,5;11;1,4;2,9;0,4;0,5;7,3;7,9;1,5;12;5;26;31;28,3;18,9;y;0;4;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;7;2,7;6;0,9;0,5;6,7;2,6;1,2;14;10;3;13;19,7;;y;1;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;1,9;8;2;4,5;0,7;0,4;6,4;;0,8;9;9;2;11;;;n;2;0;Spiekeroog;7,717204;53,775421;6
Spiekeroog_2;53°46'31,516, 7°43'1,936;;11;;;;;;7,9;1,2;9;2;21;23;21,9;;y;0;0;Spiekeroog;7,717204;53,775421;6
QP9+HV;53°46'8,734, 7°43'47,453;7,9;14;0,6;2,5;1;0,2;2,5;;1,4;;13;15;28;5,1;0,6;;2;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;3,9;7;0,7;1,6;4;0,4;0,4;2,5;0,7;;3;7;10;6;1,5;y;0;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;2,4;8;0,4;1;0,4;0,4;2,5;3,7;0,4;;2;3;5;9,5;4;y;0;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;2,3;6;;;;;;1,2;0,5;;4;3;7;6,1;2,7;y;0;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;2,9;10;0,6;1,4;0,4;0,4;3,5;2,7;0,6;;3;6;9;9,3;3,2;y;0;0;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;3,2;5;0,7;2,1;1,1;0,3;1,9;5,3;1,2;;27;9;36;17,5;5,5;y;0;4;Spiekeroog;7,729848;53,769093;2
QP9+HV;53°46'8,734, 7°43'47,453;;6;0,2;0,8;0,2;0,3;4;1,4;0,3;;3;2;5;6,5;;y;0;0;Spiekeroog;7,729848;53,769093;2
Hellerpad 2;53°46'6,228, 7°43'38,838;4,5;9;0,7;2,7;0,9;0,3;3;5,4;0,9;;11;9;20;13,9;3,1;;3;3;Spiekeroog;7,727455;53,768397;5
Hellerpad 2;53°46'6,228, 7°43'38,838;3,2;12;0,4;1,4;0,5;0,3;2,8;2,1;0,6;;13;9;22;7,1;2,2;;1;1;Spiekeroog;7,727455;53,768397;5
Hellerpad 2;53°46'6,228, 7°43'38,838;1,9;9;0,3;1;0,4;0,3;2,5;2,6;0,5;;4;2;6;7,5;3,9;y;0;0;Spiekeroog;7,727455;53,768397;5
